"Filename","mean(exx)","mean(eyy)","mean(exy)"
"BY60M-1_page_0001.out",-4.45832e-17,-5.45837e-17,-9.29129e-21
"BY60M-1_page_0002.out",6.2853e-06,1.17174e-06,-1.38177e-06
"BY60M-1_page_0003.out",-2.00264e-06,4.32224e-06,1.39817e-07
"BY60M-1_page_0004.out",9.75324e-06,-2.56434e-06,2.41132e-07
"BY60M-1_page_0005.out",9.48682e-07,-2.03003e-06,-2.69363e-06
"BY60M-1_page_0006.out",6.18543e-06,5.8265e-06,4.63754e-07
"BY60M-1_page_0007.out",9.16649e-07,7.65542e-06,4.02952e-07
"BY60M-1_page_0008.out",4.15933e-06,4.66757e-06,-3.8238e-07
"BY60M-1_page_0009.out",7.90658e-06,1.7966e-06,5.69489e-07
"BY60M-1_page_0010.out",4.48769e-06,1.49571e-06,4.02368e-07
"BY60M-1_page_0011.out",4.10687e-06,-1.79996e-06,-2.93577e-06
"BY60M-1_page_0012.out",4.24943e-06,6.07356e-06,-1.46199e-06
"BY60M-1_page_0013.out",-7.71783e-05,0.000275545,-2.2344e-06
"BY60M-1_page_0014.out",-0.000165348,0.000564345,-3.55652e-06
"BY60M-1_page_0015.out",-0.000275986,0.000857412,-1.045e-05
"BY60M-1_page_0016.out",-0.000379833,0.00114701,-1.18338e-05
"BY60M-1_page_0017.out",-0.000479702,0.00144173,-1.49262e-05
"BY60M-1_page_0018.out",-0.000581983,0.0017338,-3.82673e-06
"BY60M-1_page_0019.out",-0.000680043,0.00203383,-3.17495e-06
"BY60M-1_page_0020.out",-0.00079018,0.00233212,-1.43484e-05
"BY60M-1_page_0021.out",-0.000888341,0.00263129,-1.21329e-05
"BY60M-1_page_0022.out",-0.00100343,0.00293927,-1.45421e-05
"BY60M-1_page_0023.out",-0.00110526,0.00324337,-1.71385e-05
"BY60M-1_page_0024.out",-0.00121327,0.00354864,-1.5118e-05
"BY60M-1_page_0025.out",-0.00130826,0.00387663,-1.70337e-05
"BY60M-1_page_0026.out",-0.00142425,0.00418773,-1.04262e-05
"BY60M-1_page_0027.out",-0.0015249,0.0045165,-1.98002e-05
"BY60M-1_page_0028.out",-0.00163883,0.00485243,-1.74994e-05
"BY60M-1_page_0029.out",-0.00175202,0.0051954,-2.05667e-05
"BY60M-1_page_0030.out",-0.00185809,0.00554086,-2.37949e-05
"BY60M-1_page_0031.out",-0.00196925,0.0058934,-2.30348e-05
"BY60M-1_page_0032.out",-0.00208789,0.00625176,-3.07239e-05
"BY60M-1_page_0033.out",-0.00219863,0.0066214,-3.08004e-05
"BY60M-1_page_0034.out",-0.00233323,0.00698806,-2.8031e-05
"BY60M-1_page_0035.out",-0.00245113,0.00737257,-3.04158e-05
"BY60M-1_page_0036.out",-0.0025666,0.00775103,-2.85812e-05
"BY60M-1_page_0037.out",-0.00268569,0.0081413,-3.26671e-05
"BY60M-1_page_0038.out",-0.00281258,0.00853823,-3.26658e-05
"BY60M-1_page_0039.out",-0.00294086,0.00892719,-3.74361e-05
"BY60M-1_page_0040.out",-0.00307305,0.00932679,-4.24681e-05
"BY60M-1_page_0041.out",-0.00320813,0.00973195,-4.05542e-05
"BY60M-1_page_0042.out",-0.00332796,0.0101434,-4.17812e-05
"BY60M-1_page_0043.out",-0.00346089,0.0105567,-4.22104e-05
"BY60M-1_page_0044.out",-0.0035953,0.0109604,-4.00496e-05
"BY60M-1_page_0045.out",-0.00373467,0.0113781,-4.97759e-05
"BY60M-1_page_0046.out",-0.00385846,0.0118019,-4.97196e-05
"BY60M-1_page_0047.out",-0.00399819,0.0122207,-4.80556e-05
"BY60M-1_page_0048.out",-0.00413441,0.0126498,-4.3573e-05
"BY60M-1_page_0049.out",-0.00427265,0.0130721,-5.51087e-05
"BY60M-1_page_0050.out",-0.00441155,0.0135076,-4.50126e-05
