Filename,mean(exx),mean(eyy),mean(exy)
BY60M-3_page_0001.out,-4.96E-17,-4.89E-17,-6.64E-20
BY60M-3_page_0002.out,1.39E-06,-8.27E-06,-1.76E-06
BY60M-3_page_0003.out,-7.52E-07,-9.60E-07,2.13E-06
BY60M-3_page_0004.out,4.32E-06,-1.02E-05,-3.27E-06
BY60M-3_page_0005.out,3.43E-06,-6.61E-06,2.11E-06
BY60M-3_page_0006.out,5.67E-06,-4.27E-06,4.35E-06
BY60M-3_page_0007.out,-5.77E-07,-3.81E-07,6.04E-06
BY60M-3_page_0008.out,1.24E-06,-5.05E-06,1.16E-06
BY60M-3_page_0009.out,4.38E-06,2.37E-06,-5.67E-06
BY60M-3_page_0010.out,-8.55E-05,0.000287914,-1.33E-05
BY60M-3_page_0011.out,-0.000172054,0.000546101,-2.74E-05
BY60M-3_page_0012.out,-0.000238529,0.000815039,-2.74E-05
BY60M-3_page_0013.out,-0.000332772,0.00107658,-2.76E-05
BY60M-3_page_0014.out,-0.000418873,0.0013622,-2.24E-05
BY60M-3_page_0015.out,-0.000501586,0.00163143,-2.08E-05
BY60M-3_page_0016.out,-0.00059755,0.0019126,-2.07E-05
BY60M-3_page_0017.out,-0.000683317,0.00219334,-3.55E-05
BY60M-3_page_0018.out,-0.000762514,0.00248377,-3.50E-05
BY60M-3_page_0019.out,-0.000854939,0.00277914,-3.89E-05
BY60M-3_page_0020.out,-0.000970318,0.00307038,-3.61E-05
BY60M-3_page_0021.out,-0.00104089,0.00336356,-4.09E-05
BY60M-3_page_0022.out,-0.00115273,0.00367349,-4.58E-05
BY60M-3_page_0023.out,-0.0012342,0.00397669,-5.12E-05
BY60M-3_page_0024.out,-0.0013166,0.00429754,-5.10E-05
BY60M-3_page_0025.out,-0.00142908,0.00462618,-4.43E-05
BY60M-3_page_0026.out,-0.00151548,0.00494661,-4.93E-05
BY60M-3_page_0027.out,-0.00161333,0.00528244,-7.12E-05
BY60M-3_page_0028.out,-0.00171259,0.00560507,-6.11E-05
BY60M-3_page_0029.out,-0.00181647,0.00593511,-7.28E-05
BY60M-3_page_0030.out,-0.00191795,0.00628207,-7.68E-05
BY60M-3_page_0031.out,-0.0020262,0.00663158,-7.16E-05
BY60M-3_page_0032.out,-0.00213737,0.00698485,-8.24E-05
BY60M-3_page_0033.out,-0.00222954,0.0073503,-8.45E-05
BY60M-3_page_0034.out,-0.00234644,0.00770939,-9.19E-05
BY60M-3_page_0035.out,-0.00246,0.00808329,-0.000105776
BY60M-3_page_0036.out,-0.00256564,0.00846712,-0.000106705
BY60M-3_page_0037.out,-0.0026946,0.0088447,-0.000105027
BY60M-3_page_0038.out,-0.00279275,0.00922416,-0.000104898
BY60M-3_page_0039.out,-0.0029116,0.00962144,-0.000123786
BY60M-3_page_0040.out,-0.0030313,0.0100143,-0.000126939
BY60M-3_page_0041.out,-0.00313384,0.010422,-0.000134929
BY60M-3_page_0042.out,-0.0032722,0.0108206,-0.000138644
BY60M-3_page_0043.out,-0.00339871,0.0112314,-0.000137738
BY60M-3_page_0044.out,-0.0035063,0.0116436,-0.0001605
BY60M-3_page_0045.out,-0.00361924,0.0120372,-0.000149972
BY60M-3_page_0046.out,-0.00376365,0.0124568,-0.000159953
BY60M-3_page_0047.out,-0.00387634,0.012869,-0.000153718
BY60M-3_page_0048.out,-0.00400028,0.0132731,-0.000161574
BY60M-3_page_0049.out,-0.00413055,0.0136958,-0.000179173
BY60M-3_page_0050.out,-0.00425353,0.014114,-0.000172508
BY60M-3_page_0051.out,-0.00436977,0.0145404,-0.00017869
BY60M-3_page_0052.out,-0.00448564,0.0149609,-0.000179924
BY60M-3_page_0053.out,-0.00462537,0.0153874,-0.000183019
BY60M-3_page_0054.out,-0.00474806,0.0158194,-0.000196595
BY60M-3_page_0055.out,-0.00487442,0.0162438,-0.00019961
