"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60M-6_page_0001.out",-4.83931e-17,2.77389e-17,-4.83064e-17,3.28102e-17,8.59385e-19,2.84174e-17
"BY60M-6_page_0002.out",-3.2249e-06,6.28644e-05,4.92461e-06,7.59416e-05,1.87666e-06,5.65059e-05
"BY60M-6_page_0003.out",9.26881e-06,7.85009e-05,-6.52423e-06,7.18175e-05,7.31702e-06,4.56553e-05
"BY60M-6_page_0004.out",-2.13073e-06,8.04018e-05,-3.47656e-06,7.96558e-05,-4.89871e-07,5.68911e-05
"BY60M-6_page_0005.out",1.4523e-08,8.61775e-05,2.33786e-06,6.54738e-05,-4.70104e-06,5.18181e-05
"BY60M-6_page_0006.out",2.14514e-06,7.79293e-05,5.69057e-06,6.19664e-05,-8.96106e-06,5.14312e-05
"BY60M-6_page_0007.out",-1.13322e-06,7.63082e-05,2.79452e-06,7.06543e-05,-1.83442e-06,6.05824e-05
"BY60M-6_page_0008.out",4.42076e-08,7.56561e-05,4.15581e-06,6.32043e-05,3.45465e-06,6.29365e-05
"BY60M-6_page_0009.out",-1.64864e-05,9.6058e-05,2.90556e-07,7.0228e-05,-6.23175e-06,6.45455e-05
"BY60M-6_page_0010.out",-9.43251e-06,9.86038e-05,9.80949e-07,7.37069e-05,-2.56375e-06,4.99643e-05
"BY60M-6_page_0011.out",-1.29249e-05,7.34012e-05,4.18927e-06,6.82237e-05,3.68785e-06,6.15389e-05
"BY60M-6_page_0012.out",-7.11189e-05,0.000112932,0.000215156,9.83557e-05,-1.4987e-05,7.9681e-05
"BY60M-6_page_0013.out",-0.000159819,0.000121112,0.000475598,9.87954e-05,-5.59367e-06,0.000100479
"BY60M-6_page_0014.out",-0.000227815,0.000150188,0.000744613,0.000111086,-2.20722e-06,9.42642e-05
"BY60M-6_page_0015.out",-0.00031801,0.000158296,0.0010117,0.000116709,1.75533e-06,9.54167e-05
"BY60M-6_page_0016.out",-0.000401425,0.000180828,0.00127504,0.000116628,-1.32412e-05,0.000100616
"BY60M-6_page_0017.out",-0.000484512,0.000174259,0.00156212,0.000128359,-1.34144e-05,0.000101418
"BY60M-6_page_0018.out",-0.000565015,0.000161777,0.00183687,0.000140526,-8.55816e-06,0.000101054
"BY60M-6_page_0019.out",-0.000659385,0.000147184,0.00211714,0.000155788,-1.10482e-05,9.82497e-05
"BY60M-6_page_0020.out",-0.000743603,0.000169456,0.00241378,0.00016957,-1.31044e-05,0.00011255
"BY60M-6_page_0021.out",-0.000845488,0.000183127,0.00269166,0.000178163,-1.42765e-05,0.000110388
"BY60M-6_page_0022.out",-0.000919938,0.000174125,0.00297586,0.000183571,-2.87265e-05,0.000113359
"BY60M-6_page_0023.out",-0.00101011,0.000152309,0.00328022,0.000200953,-3.536e-05,0.000130595
"BY60M-6_page_0024.out",-0.00112093,0.000179462,0.00358986,0.000232608,-3.39009e-05,0.000119314
"BY60M-6_page_0025.out",-0.00121693,0.000197192,0.00389228,0.000240438,-4.00233e-05,0.000126286
"BY60M-6_page_0026.out",-0.00129787,0.000187884,0.00422685,0.000266798,-4.52811e-05,0.000137824
"BY60M-6_page_0027.out",-0.00139869,0.000197584,0.00456145,0.000279681,-4.68036e-05,0.000114431
"BY60M-6_page_0028.out",-0.00151495,0.000221134,0.00490016,0.000304321,-5.38219e-05,0.000127427
"BY60M-6_page_0029.out",-0.0016081,0.000231264,0.00525618,0.000326068,-4.76422e-05,0.000145287
"BY60M-6_page_0030.out",-0.00171224,0.00023528,0.00559983,0.000330218,-4.48367e-05,0.000153952
"BY60M-6_page_0031.out",-0.0018312,0.000240782,0.00597128,0.000364326,-6.49389e-05,0.000139684
"BY60M-6_page_0032.out",-0.0019314,0.000268278,0.00634883,0.000395016,-7.2705e-05,0.000157463
"BY60M-6_page_0033.out",-0.00204147,0.000262655,0.00671759,0.000409663,-7.87838e-05,0.000173962
"BY60M-6_page_0034.out",-0.00214928,0.000253609,0.00709984,0.000448905,-7.90599e-05,0.000175501
"BY60M-6_page_0035.out",-0.00224801,0.000268427,0.00748996,0.000483039,-8.83635e-05,0.000190233
"BY60M-6_page_0036.out",-0.00235341,0.000302311,0.00785847,0.000484381,-8.8397e-05,0.000184405
"BY60M-6_page_0037.out",-0.00247857,0.000293566,0.00823666,0.000515276,-9.65956e-05,0.000186716
"BY60M-6_page_0038.out",-0.00258497,0.000313341,0.00862145,0.000541118,-9.74468e-05,0.00020242
"BY60M-6_page_0039.out",-0.00269902,0.000319603,0.00899098,0.000573133,-0.000112374,0.000209466
"BY60M-6_page_0040.out",-0.00281726,0.000319679,0.00938045,0.000625891,-0.000124581,0.000212794
"BY60M-6_page_0041.out",-0.00294236,0.000364732,0.0097581,0.000671696,-0.00013117,0.000218183
"BY60M-6_page_0042.out",-0.00306018,0.00038267,0.0101387,0.000702427,-0.000135056,0.000229314
"BY60M-6_page_0043.out",-0.00316243,0.000381554,0.0105502,0.000750403,-0.000135904,0.000229941
"BY60M-6_page_0044.out",-0.00328052,0.000414936,0.0109433,0.000782473,-0.000143222,0.00022592
"BY60M-6_page_0045.out",-0.00338004,0.000422159,0.0113575,0.000845357,-0.000148912,0.000251222
"BY60M-6_page_0046.out",-0.00350306,0.000409851,0.0117487,0.000871593,-0.000147265,0.000268963
"BY60M-6_page_0047.out",-0.00363234,0.000434648,0.0121783,0.000906435,-0.000155957,0.000252642
