"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-8_page_0001.out",-3.75384e-05,0.000141251,1.05414e-05,7.96618e-05,-1.68147e-05,6.82743e-05
"BY60C-8_page_0002.out",-3.41027e-05,0.000120921,7.3909e-06,8.47204e-05,-4.79275e-06,6.47081e-05
"BY60C-8_page_0003.out",-2.92879e-05,0.000107474,-4.53664e-06,8.09761e-05,1.12023e-06,6.39647e-05
"BY60C-8_page_0004.out",-3.81868e-05,0.000135083,-1.27375e-06,7.22276e-05,-4.86899e-06,6.85866e-05
"BY60C-8_page_0005.out",-4.77924e-05,0.00012345,2.23981e-06,7.27962e-05,3.33384e-06,6.39931e-05
"BY60C-8_page_0006.out",-5.76938e-17,2.86021e-17,-3.98831e-17,2.92671e-17,5.13834e-19,2.86185e-17
"BY60C-8_page_0007.out",-3.82926e-05,0.000110278,2.78543e-05,6.7188e-05,-1.49147e-05,5.67423e-05
"BY60C-8_page_0008.out",-0.000139427,0.000122349,0.000331549,0.000105766,-8.5785e-06,8.57724e-05
"BY60C-8_page_0009.out",-0.000222337,0.000137183,0.000581904,0.000111283,-1.75606e-05,9.71854e-05
"BY60C-8_page_0010.out",-0.000303302,0.00013644,0.00083392,0.000125383,-1.85638e-05,8.1103e-05
"BY60C-8_page_0011.out",-0.000389703,0.00013175,0.00111217,0.000146997,-1.25721e-05,8.5298e-05
"BY60C-8_page_0012.out",-0.000491532,0.000128923,0.00138319,0.000128408,-1.88131e-05,8.65364e-05
"BY60C-8_page_0013.out",-0.000594783,0.00016424,0.00165076,0.000137071,-1.90735e-05,0.000110767
"BY60C-8_page_0014.out",-0.000595242,0.000151776,0.00171785,0.000141287,-1.61734e-05,0.000103027
"BY60C-8_page_0015.out",-0.000510141,0.00013711,0.00143883,0.000137132,-1.21029e-05,9.52684e-05
"BY60C-8_page_0016.out",-0.000426876,0.000151494,0.00116166,0.000125279,-2.82946e-05,9.26924e-05
"BY60C-8_page_0017.out",-0.000343461,0.000134199,0.000884835,0.000117673,-3.18484e-05,9.10881e-05
"BY60C-8_page_0018.out",-0.000257325,0.000150162,0.000613427,0.000100373,-2.18784e-05,0.000102521
"BY60C-8_page_0019.out",-0.000155442,0.000134139,0.00035734,0.000116008,-1.20138e-05,9.35365e-05
"BY60C-8_page_0020.out",-0.000111914,0.000147707,0.000154537,9.45198e-05,-1.86841e-05,8.9489e-05
"BY60C-8_page_0021.out",-0.000166173,0.000167042,0.000405444,0.000108385,-4.43329e-06,0.000103575
"BY60C-8_page_0022.out",-0.000251785,0.000121371,0.00066613,0.000118116,-1.35269e-05,9.96586e-05
"BY60C-8_page_0023.out",-0.000348376,0.000145338,0.00093405,0.000127567,-2.19757e-05,9.45384e-05
"BY60C-8_page_0024.out",-0.000441438,0.000129611,0.00121579,0.000125127,-2.392e-05,9.15172e-05
"BY60C-8_page_0025.out",-0.000551054,0.000165073,0.00149436,0.000135667,-1.41469e-05,9.31079e-05
"BY60C-8_page_0026.out",-0.000626474,0.000144725,0.00175908,0.000158542,-1.60619e-05,9.27587e-05
"BY60C-8_page_0027.out",-0.000727713,0.000163718,0.00204031,0.000168987,-3.77366e-05,0.000107464
"BY60C-8_page_0028.out",-0.000829229,0.000189052,0.00233375,0.000168433,-3.19961e-05,0.000110264
"BY60C-8_page_0029.out",-0.000915673,0.000186834,0.00260894,0.000176135,-3.31441e-05,0.000105225
"BY60C-8_page_0030.out",-0.00103324,0.000194924,0.00290297,0.000193834,-3.20617e-05,0.000105617
"BY60C-8_page_0031.out",-0.00113176,0.000218677,0.00321657,0.000204537,-4.64952e-05,0.000126438
"BY60C-8_page_0032.out",-0.00121027,0.000201274,0.00350757,0.000217631,-3.64604e-05,0.000109342
"BY60C-8_page_0033.out",-0.00127288,0.000196181,0.00371223,0.00021365,-4.03089e-05,0.000125999
"BY60C-8_page_0034.out",-0.00116377,0.000186727,0.00345473,0.000208269,-4.40436e-05,0.000131481
"BY60C-8_page_0035.out",-0.00109708,0.00020544,0.00317218,0.000220285,-3.42496e-05,0.000123462
"BY60C-8_page_0036.out",-0.00102044,0.000194739,0.00286377,0.000193578,-4.2419e-05,0.000102094
"BY60C-8_page_0037.out",-0.000914581,0.000203321,0.00257815,0.000209476,-3.28125e-05,0.000112012
"BY60C-8_page_0038.out",-0.00082396,0.000215482,0.0022968,0.000176166,-4.93727e-05,0.000116062
"BY60C-8_page_0039.out",-0.000709876,0.000193445,0.00200581,0.000165456,-4.9555e-05,0.000119967
"BY60C-8_page_0040.out",-0.000611548,0.000133287,0.0017187,0.000161831,-3.97322e-05,0.000110402
"BY60C-8_page_0041.out",-0.0005257,0.000178922,0.00142406,0.000141545,-2.12832e-05,8.88868e-05
"BY60C-8_page_0042.out",-0.000423694,0.000168261,0.00114205,0.000140059,-3.68401e-05,8.91612e-05
"BY60C-8_page_0043.out",-0.000320527,0.000181846,0.000839372,0.000142078,-3.3751e-05,8.73933e-05
"BY60C-8_page_0044.out",-0.000227088,0.00016576,0.000553757,0.000123058,-1.59997e-05,9.60082e-05
"BY60C-8_page_0045.out",-0.000213905,0.00014903,0.000502445,0.000124699,-1.9069e-05,9.11809e-05
"BY60C-8_page_0046.out",-0.000315825,0.000168802,0.000789721,0.0001276,-2.61156e-05,9.6264e-05
"BY60C-8_page_0047.out",-0.000404199,0.000190529,0.00106131,0.00014399,-2.79546e-05,0.000104518
"BY60C-8_page_0048.out",-0.000496245,0.000200603,0.00133551,0.000150826,-2.19908e-05,0.000101434
"BY60C-8_page_0049.out",-0.000594976,0.000185171,0.00163587,0.000155124,-3.38799e-05,0.000122202
"BY60C-8_page_0050.out",-0.000683698,0.000189913,0.00190841,0.000179064,-2.62101e-05,9.95666e-05
"BY60C-8_page_0051.out",-0.000788246,0.000218101,0.0021996,0.000166461,-3.54841e-05,0.000121886
"BY60C-8_page_0052.out",-0.000884588,0.000215734,0.00248708,0.000170647,-3.07931e-05,0.000121193
"BY60C-8_page_0053.out",-0.000993316,0.00019518,0.00277288,0.000208266,-2.96379e-05,0.000102623
"BY60C-8_page_0054.out",-0.00106707,0.000173816,0.00308837,0.000223137,-2.86389e-05,0.00011606
"BY60C-8_page_0055.out",-0.00117167,0.000212065,0.00337694,0.000215371,-4.42114e-05,0.000114591
"BY60C-8_page_0056.out",-0.0012812,0.000216848,0.00367006,0.000234771,-2.2034e-05,0.000127815
"BY60C-8_page_0057.out",-0.00140055,0.000243912,0.00401209,0.000255438,-4.391e-05,0.00012196
"BY60C-8_page_0058.out",-0.00146246,0.000218615,0.00431803,0.000259739,-5.40222e-05,0.000127806
"BY60C-8_page_0059.out",-0.00157821,0.000225911,0.00465243,0.000269123,-5.39741e-05,0.000119174
"BY60C-8_page_0060.out",-0.00170406,0.000220084,0.00500409,0.000301268,-6.08166e-05,0.000140231
"BY60C-8_page_0061.out",-0.00179768,0.000225586,0.0053672,0.000317622,-5.33602e-05,0.00015631
"BY60C-8_page_0062.out",-0.00190765,0.000217371,0.00571542,0.000357573,-7.18555e-05,0.000142733
"BY60C-8_page_0063.out",-0.00200789,0.000238888,0.00599834,0.000383813,-7.81045e-05,0.000141661
"BY60C-8_page_0064.out",-0.00192409,0.000241568,0.00574372,0.000372469,-8.04798e-05,0.000144928
"BY60C-8_page_0065.out",-0.0018401,0.00025974,0.00549544,0.000343234,-6.70113e-05,0.000154437
"BY60C-8_page_0066.out",-0.00175242,0.000217678,0.00519103,0.000348079,-4.6346e-05,0.000144671
"BY60C-8_page_0067.out",-0.00164624,0.000237521,0.00488564,0.000310911,-6.35932e-05,0.00012983
"BY60C-8_page_0068.out",-0.00156105,0.000228767,0.00459225,0.000324954,-5.58497e-05,0.000131106
"BY60C-8_page_0069.out",-0.00145629,0.000240888,0.00429695,0.000310485,-5.20586e-05,0.000126386
