Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0001.out,1,-5.13E-17,2.63E-17,-4.86E-17,3.22E-17,-3.22E-19,2.83E-17
BY60M-2_page_0002.out,2,-8.95E-06,7.94E-05,8.06E-07,7.09E-05,-7.59E-06,5.17E-05
BY60M-2_page_0003.out,3,-3.97E-06,7.62E-05,3.68E-06,6.29E-05,-2.92E-06,4.50E-05
BY60M-2_page_0004.out,4,9.56E-07,7.71E-05,-2.08E-06,4.79E-05,-7.08E-06,4.31E-05
BY60M-2_page_0005.out,5,-1.58E-06,8.14E-05,-6.92E-06,5.82E-05,-1.62E-06,4.29E-05
BY60M-2_page_0006.out,6,1.91E-07,7.78E-05,-2.47E-06,6.11E-05,-3.44E-07,4.00E-05
BY60M-2_page_0007.out,7,-1.24E-05,7.27E-05,-5.81E-06,5.65E-05,-5.39E-06,4.62E-05
BY60M-2_page_0008.out,8,-1.93E-05,8.76E-05,2.97E-05,6.73E-05,-2.70E-06,5.35E-05
BY60M-2_page_0009.out,9,-0.000117377,9.52E-05,0.00036446,8.32E-05,1.13E-05,7.26E-05
BY60M-2_page_0010.out,10,-0.000208708,0.000112201,0.000650062,0.000103507,4.27E-06,8.23E-05
BY60M-2_page_0011.out,11,-0.000306644,9.47E-05,0.000937731,9.03E-05,1.71E-07,7.70E-05
BY60M-2_page_0012.out,12,-0.000403292,0.00011457,0.00124006,0.000105677,1.18E-05,7.56E-05
BY60M-2_page_0013.out,13,-0.000503084,0.000138855,0.00154243,0.000122798,1.56E-05,9.30E-05
BY60M-2_page_0014.out,14,-0.00060263,0.000105842,0.00182784,0.000119147,4.64E-06,7.95E-05
BY60M-2_page_0015.out,15,-0.000714096,0.000136326,0.0021413,0.000132557,2.85E-06,9.61E-05
BY60M-2_page_0016.out,16,-0.000800886,0.000180818,0.0024562,0.000133514,8.73E-06,0.000114329
BY60M-2_page_0017.out,17,-0.000936523,0.000165573,0.0027535,0.00014355,3.27E-06,9.90E-05
BY60M-2_page_0018.out,18,-0.00103114,0.000161583,0.00308069,0.000147627,2.32E-06,9.42E-05
BY60M-2_page_0019.out,19,-0.00112221,0.000198038,0.00339898,0.000181207,9.58E-06,0.000120553
BY60M-2_page_0020.out,20,-0.00123826,0.000175322,0.00372321,0.000183051,-3.42E-06,0.000125279
BY60M-2_page_0021.out,21,-0.00135467,0.000183176,0.00405401,0.000193672,-9.03E-06,0.000119358
BY60M-2_page_0022.out,22,-0.00144304,0.000216995,0.00438694,0.000204992,-1.31E-06,0.000139783
BY60M-2_page_0023.out,23,-0.0015721,0.000216543,0.00474194,0.000208315,5.66E-06,0.000151064
BY60M-2_page_0024.out,24,-0.00168129,0.000240273,0.00508421,0.000237929,-1.32E-05,0.000157652
BY60M-2_page_0025.out,25,-0.0017867,0.00024786,0.00544017,0.000239861,-7.05E-06,0.000163113
