"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-11_page_0001.out",-6.1576e-17,2.37696e-17,-3.80342e-17,2.68008e-17,4.96351e-19,2.83175e-17
"BY60C-11_page_0002.out",-9.92737e-06,0.000103865,-1.06513e-06,9.84194e-05,3.62217e-07,5.61249e-05
"BY60C-11_page_0003.out",-1.20086e-05,0.000101391,7.16332e-06,8.64933e-05,2.85445e-06,7.32656e-05
"BY60C-11_page_0004.out",-1.60414e-05,9.89537e-05,-7.63489e-06,7.70891e-05,8.17527e-06,5.81061e-05
"BY60C-11_page_0005.out",-1.83962e-06,0.000110486,1.37552e-05,7.65883e-05,-1.25673e-06,6.89288e-05
"BY60C-11_page_0006.out",-2.47914e-06,9.94306e-05,1.92999e-06,9.10733e-05,7.97831e-06,7.41087e-05
"BY60C-11_page_0007.out",8.96806e-06,8.44286e-05,-4.15228e-07,8.49602e-05,1.31162e-05,8.40039e-05
"BY60C-11_page_0008.out",-4.64691e-06,9.29062e-05,-1.13839e-05,9.06807e-05,1.35726e-05,7.12248e-05
"BY60C-11_page_0009.out",-1.50836e-05,0.000112753,-1.16968e-05,8.20098e-05,3.06819e-06,7.48361e-05
"BY60C-11_page_0010.out",2.39748e-06,0.000111165,-1.02348e-05,8.72527e-05,8.36179e-06,7.74942e-05
"BY60C-11_page_0011.out",-1.71361e-05,0.000110526,-8.13322e-06,9.87227e-05,1.57871e-05,8.29323e-05
"BY60C-11_page_0012.out",-6.51602e-07,8.8472e-05,2.48414e-06,8.1978e-05,9.88158e-06,6.26042e-05
"BY60C-11_page_0013.out",-2.67094e-05,0.000114735,-5.94527e-06,9.15837e-05,1.96564e-05,8.24925e-05
"BY60C-11_page_0014.out",-9.59567e-06,0.000108016,-1.83748e-05,8.8127e-05,8.42319e-06,6.72501e-05
"BY60C-11_page_0015.out",3.44288e-06,0.000101145,-1.26731e-06,8.60318e-05,6.64188e-06,7.17764e-05
"BY60C-11_page_0016.out",-1.18222e-05,9.72411e-05,-1.69584e-06,9.17814e-05,1.81567e-06,6.49843e-05
"BY60C-11_page_0017.out",-1.06247e-05,0.000113411,-4.4882e-06,8.8115e-05,1.75602e-05,7.73434e-05
"BY60C-11_page_0018.out",-1.91065e-05,0.000108317,2.09948e-06,7.66393e-05,1.36859e-05,7.23528e-05
"BY60C-11_page_0019.out",-7.96074e-05,0.000125017,0.000203293,9.45542e-05,2.098e-05,7.99846e-05
"BY60C-11_page_0020.out",-0.000154489,0.0001628,0.000423384,0.000116562,3.89692e-05,0.000105029
