Filename,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-9_page_0030.out,-5.40E-17,2.64E-17,-4.34E-17,2.99E-17,6.08E-19,2.79E-17
BY60C-9_page_0031.out,-7.07E-05,0.000111064,0.000215024,0.000114328,-1.31E-05,7.70E-05
BY60C-9_page_0032.out,-0.000139246,0.000126695,0.000460596,0.000121312,-5.68E-06,8.85E-05
BY60C-9_page_0033.out,-0.000207409,0.000137472,0.000676542,0.000103933,-1.30E-05,8.30E-05
BY60C-9_page_0034.out,-0.000153344,0.000132292,0.000470795,0.000135174,-1.67E-05,8.00E-05
BY60C-9_page_0035.out,-7.71E-05,0.000127647,0.000205902,0.000131272,-1.69E-05,9.59E-05
BY60C-9_page_0036.out,1.04E-05,0.00010319,-5.11E-05,9.61E-05,-7.13E-06,8.45E-05
BY60C-9_page_0037.out,7.15E-05,0.000129662,-0.000309228,0.000131606,-2.19E-05,9.42E-05
BY60C-9_page_0038.out,0.00017952,0.000118306,-0.000592635,0.000150668,-2.28E-05,8.60E-05
BY60C-9_page_0039.out,0.000241015,0.000120261,-0.000833521,0.000134874,1.10E-06,8.93E-05
BY60C-9_page_0040.out,0.000347868,0.000113703,-0.00108917,0.000118242,-1.91E-05,7.90E-05
BY60C-9_page_0041.out,0.000424556,0.000146734,-0.00135686,0.00017719,2.39E-06,8.60E-05
BY60C-9_page_0042.out,0.000494931,0.000166371,-0.00161768,0.000173099,9.16E-07,0.00011352
BY60C-9_page_0043.out,0.000600519,0.000142702,-0.00186652,0.000170703,7.22E-06,8.77E-05
BY60C-9_page_0044.out,0.000644105,0.000165391,-0.00211701,0.000201476,-1.95E-05,0.00011031
BY60C-9_page_0045.out,0.000611858,0.000159171,-0.00190317,0.000195062,-7.63E-06,8.14E-05
BY60C-9_page_0046.out,0.000517842,0.000150274,-0.00167365,0.000177791,-9.46E-06,8.34E-05
BY60C-9_page_0047.out,0.000438415,0.000151457,-0.00145227,0.000208576,-1.46E-06,8.14E-05
BY60C-9_page_0048.out,0.000369903,0.000139422,-0.00119826,0.000199786,-1.62E-05,9.43E-05
BY60C-9_page_0049.out,0.000281141,0.000142722,-0.000940387,0.000189983,-1.42E-05,8.63E-05
BY60C-9_page_0050.out,0.000190425,0.000135382,-0.00068602,0.000190907,-1.43E-05,0.000100593
BY60C-9_page_0051.out,0.000109961,0.000140578,-0.000426826,0.000165583,-1.38E-05,6.44E-05
BY60C-9_page_0052.out,1.53E-05,0.000133917,-0.000164899,0.00017734,-1.57E-05,7.36E-05
BY60C-9_page_0053.out,-4.02E-05,0.000110579,7.90E-05,0.000203611,-7.33E-06,9.17E-05
BY60C-9_page_0054.out,-0.00015129,0.000123632,0.000345277,0.00019193,-1.82E-05,8.75E-05
BY60C-9_page_0055.out,-0.000226049,0.000125446,0.000605395,0.00018295,-7.88E-06,9.77E-05
BY60C-9_page_0056.out,-0.000304228,0.000161331,0.000874703,0.000195125,-1.98E-05,0.000117138
BY60C-9_page_0057.out,-0.000410752,0.00014859,0.00112974,0.000176205,-2.08E-05,0.000108667
BY60C-9_page_0058.out,-0.000478702,0.000153943,0.0013649,0.000232573,-2.16E-05,0.0001185
BY60C-9_page_0059.out,-0.000584824,0.000145112,0.00165814,0.000200259,-3.18E-05,0.000115964
BY60C-9_page_0060.out,-0.000673209,0.000159395,0.00193107,0.000221115,-3.66E-05,0.000112271
BY60C-9_page_0061.out,-0.000744748,0.000134688,0.00220814,0.000221572,-4.41E-05,0.000119867
BY60C-9_page_0062.out,-0.000782959,0.000173575,0.0023708,0.000196468,-3.57E-05,0.000105643
