Filename,No.,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60C-5_page_0001.out,0,-6.69E-17,2.58E-17,-3.31E-17,2.81E-17,-2.52E-19,3.00E-17
BY60C-5_page_0002.out,1,0.0249658,0.00515259,-0.0585429,0.0101945,-0.000958975,0.00345119
BY60C-5_page_0003.out,2,0.0249726,0.00512204,-0.0585376,0.0101665,-0.000965727,0.00346247
BY60C-5_page_0004.out,3,0.0249743,0.00509557,-0.0585467,0.0101676,-0.000970163,0.00346278
BY60C-5_page_0005.out,4,0.0248929,0.00512336,-0.0583644,0.0101445,-0.00096111,0.00345046
BY60C-5_page_0006.out,5,0.0247866,0.00510893,-0.0581394,0.0101871,-0.000959341,0.00343815
BY60C-5_page_0007.out,6,0.0246995,0.0051184,-0.0579177,0.01019,-0.000957869,0.00344958
BY60C-5_page_0008.out,7,0.0245866,0.0051075,-0.0576658,0.0101975,-0.000960066,0.00344723
BY60C-5_page_0009.out,8,0.0244961,0.00512066,-0.0574361,0.0101756,-0.00095298,0.00343357
BY60C-5_page_0010.out,9,0.0243827,0.00510885,-0.0571742,0.0101861,-0.00095199,0.00343538
BY60C-5_page_0011.out,10,0.0242832,0.00508688,-0.0569619,0.0101933,-0.000946508,0.00340764
BY60C-5_page_0012.out,11,0.0243792,0.00508969,-0.0571952,0.01018,-0.000942847,0.00343704
BY60C-5_page_0013.out,12,0.0244511,0.00511289,-0.0574256,0.0101725,-0.00094711,0.00345257
BY60C-5_page_0014.out,13,0.0245758,0.00511186,-0.0576739,0.0101876,-0.000952614,0.00344349
BY60C-5_page_0015.out,14,0.0246763,0.00511517,-0.0579287,0.0101886,-0.000958344,0.00343746
BY60C-5_page_0016.out,15,0.0247754,0.00512896,-0.0581663,0.0101735,-0.000962241,0.00346268
BY60C-5_page_0017.out,16,0.0248739,0.00512754,-0.0584044,0.0101524,-0.000963962,0.00345085
BY60C-5_page_0018.out,17,0.0248311,0.00512915,-0.0583027,0.0101803,-0.000961201,0.00344638
BY60C-5_page_0019.out,18,0.0247529,0.00513,-0.0580738,0.0101826,-0.000965082,0.00342971
BY60C-5_page_0020.out,19,0.0246545,0.00513617,-0.0578146,0.0102025,-0.000958565,0.0034306
BY60C-5_page_0021.out,20,0.0245424,0.00511836,-0.0575817,0.0102038,-0.000962474,0.00344044
BY60C-5_page_0022.out,21,0.0244381,0.00511234,-0.0573273,0.0101801,-0.000950574,0.00344367
BY60C-5_page_0023.out,22,0.024331,0.00509154,-0.0570766,0.0101946,-0.000957025,0.0034286
BY60C-5_page_0024.out,23,0.02424,0.00512907,-0.0568075,0.0102168,-0.000929255,0.00341583
BY60C-5_page_0025.out,24,0.0241223,0.00509751,-0.0565512,0.0102287,-0.000928219,0.00342331
