"Filename","mean(exx)","stdev(exx)","mean(eyy)","stdev(eyy)","mean(exy)","stdev(exy)"
"BY60C-7_page_0001.out",-5.48149e-17,3.05588e-17,-3.91532e-17,3.07803e-17,-2.72576e-20,2.90522e-17
"BY60C-7_page_0002.out",-4.19539e-06,8.79771e-05,-7.15678e-08,8.96398e-05,-1.10111e-05,5.9278e-05
"BY60C-7_page_0003.out",-3.90172e-06,9.4048e-05,-1.71432e-05,9.3812e-05,-1.83563e-06,6.57745e-05
"BY60C-7_page_0004.out",3.84545e-06,9.03441e-05,-5.96435e-06,8.24507e-05,-7.29666e-06,6.53328e-05
"BY60C-7_page_0005.out",-1.88198e-06,0.000103828,-3.98588e-06,8.69172e-05,1.97253e-07,6.08801e-05
"BY60C-7_page_0006.out",-3.98679e-05,9.80639e-05,0.000117061,0.000125615,1.05391e-05,7.53489e-05
"BY60C-7_page_0007.out",-0.000136652,0.000126384,0.000365321,0.000145878,5.45205e-06,9.37478e-05
"BY60C-7_page_0008.out",-0.000222476,0.000132543,0.000623865,0.000128823,2.44834e-05,0.000101632
"BY60C-7_page_0009.out",-0.000318976,0.000130861,0.000872844,0.000109936,1.4398e-05,8.20577e-05
"BY60C-7_page_0010.out",-0.000395185,0.000147231,0.00113236,0.000129191,2.82336e-05,9.32064e-05
"BY60C-7_page_0011.out",-0.00049927,0.000133413,0.00140211,0.000141482,3.25115e-05,0.000121305
"BY60C-7_page_0012.out",-0.000596716,0.0001513,0.00166565,0.000150717,3.00595e-05,9.83456e-05
"BY60C-7_page_0013.out",-0.000548935,0.000144389,0.00150003,0.00014381,4.58098e-05,0.000100778
"BY60C-7_page_0014.out",-0.000441955,0.000124444,0.00122472,0.000138664,2.59949e-05,9.32086e-05
"BY60C-7_page_0015.out",-0.000350358,0.000131289,0.0009569,0.000121242,2.07614e-05,8.62228e-05
"BY60C-7_page_0016.out",-0.000259536,0.000112052,0.000699587,0.000107402,9.13652e-06,8.34625e-05
"BY60C-7_page_0017.out",-0.000159988,0.000125621,0.000436106,0.000151396,9.50628e-06,0.000109234
"BY60C-7_page_0018.out",-9.49666e-05,0.000122959,0.000169094,0.000138565,3.49578e-06,0.000101027
"BY60C-7_page_0019.out",-9.02715e-05,0.00012968,0.000201085,0.000150578,1.80577e-05,9.37383e-05
"BY60C-7_page_0020.out",-0.000181938,0.0001304,0.000471069,0.00012635,9.21457e-06,0.000108244
"BY60C-7_page_0021.out",-0.000256834,0.000109227,0.000728381,0.000115962,8.54685e-06,7.92516e-05
"BY60C-7_page_0022.out",-0.00034857,0.000124413,0.000981578,0.000152371,1.97827e-05,8.01233e-05
"BY60C-7_page_0023.out",-0.000459148,0.000150747,0.00124508,0.000167816,2.99056e-05,0.000103067
"BY60C-7_page_0024.out",-0.000547871,0.000170674,0.00152794,0.000162622,3.39646e-05,0.000114261
"BY60C-7_page_0025.out",-0.000635271,0.000164786,0.00181064,0.000168545,3.39319e-05,9.59611e-05
"BY60C-7_page_0026.out",-0.000734388,0.000166785,0.00207937,0.000184787,4.02572e-05,0.000126494
"BY60C-7_page_0027.out",-0.000842527,0.000182467,0.00236782,0.00017084,5.17568e-05,0.000129178
"BY60C-7_page_0028.out",-0.000945019,0.000187257,0.00264239,0.000179418,4.6623e-05,0.000133747
"BY60C-7_page_0029.out",-0.00103327,0.000186375,0.00291048,0.000223481,6.76802e-05,0.000129997
"BY60C-7_page_0030.out",-0.00115871,0.000197646,0.00322876,0.00019617,7.36044e-05,0.000127939
"BY60C-7_page_0031.out",-0.00124009,0.000209528,0.0035277,0.000222598,8.00929e-05,0.000159119
"BY60C-7_page_0032.out",-0.00120002,0.000173752,0.00342753,0.000201348,7.52737e-05,0.00014949
"BY60C-7_page_0033.out",-0.00111998,0.000187813,0.0031363,0.000204424,8.46158e-05,0.000142529
"BY60C-7_page_0034.out",-0.00103107,0.000182136,0.00283388,0.000202357,6.12917e-05,0.000122175
"BY60C-7_page_0035.out",-0.000924237,0.000175579,0.00254552,0.000207358,5.88878e-05,0.000135587
"BY60C-7_page_0036.out",-0.000824009,0.000173409,0.00227376,0.000185197,6.0875e-05,0.000139229
"BY60C-7_page_0037.out",-0.000709474,0.000171105,0.00198247,0.000188206,5.47857e-05,0.000107396
