General : Start Date,3/28/2019 12:57 PM
Custom choice input : Operator,Ping
Text Inputs : Specimen label,"w20s1.2n1"
Custom choice input : Material,Polypropylene
Dimension : Length,200.00000,mm
Dimension : Thickness,5.30000,mm
Dimension : Width,20.30000,mm
Dimension : Area,1.07590,cm^2

Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.00486
0.00180,0.00000,0.00470
0.10000,0.00000,0.00863
0.20000,0.00000,0.00880
0.30000,0.00000,0.01049
0.48520,0.00000,0.00885
0.58520,0.00000,0.01060
0.68520,0.00000,0.00992
0.78520,0.00000,0.01143
0.88520,0.00000,0.00869
0.93780,0.00000,0.01273
0.98520,0.00002,0.01012
1.08520,0.00093,0.03449
1.18520,0.00451,0.20096
1.28520,0.00923,0.40665
1.38520,0.01318,0.57048
1.48520,0.01721,0.73333
1.58520,0.02056,0.86727
1.68520,0.02384,0.99860
1.78520,0.02754,1.13294
1.88520,0.03083,1.25123
1.98520,0.03397,1.36590
2.08520,0.03758,1.49212
2.18520,0.04091,1.60476
2.28520,0.04395,1.70123
2.38520,0.04755,1.81095
2.48520,0.05106,1.91256
2.58520,0.05406,1.98666
2.68520,0.05758,2.07870
2.78520,0.06111,2.15734
2.88520,0.06406,2.21916
2.98520,0.06747,2.29265
3.08520,0.07109,2.36463
3.18520,0.07410,2.41826
3.28520,0.07751,2.47723
3.38520,0.08114,2.53849
3.48520,0.08418,2.58129
3.58520,0.08744,2.63136
3.68520,0.09108,2.68200
3.78520,0.09416,2.72065
3.88520,0.09738,2.76498
3.98520,0.10104,2.81413
4.08520,0.10424,2.84815
4.18520,0.10738,2.89200
4.28520,0.11099,2.95463
4.38520,0.11430,3.01088
4.48520,0.11735,3.06734
4.58520,0.12095,3.13882
4.68520,0.12439,3.21054
4.78520,0.12743,3.26636
4.88520,0.13092,3.33270
4.98520,0.13437,3.39354
5.08520,0.13738,3.44246
5.18520,0.14085,3.50344
5.28520,0.14442,3.55744
5.38520,0.14744,3.60140
5.48520,0.15082,3.65451
5.58520,0.15437,3.70056
5.68520,0.15741,3.73358
5.78520,0.16075,3.77095
5.88520,0.16438,3.80660
5.98520,0.16754,3.82836
6.08520,0.17081,3.85115
6.18520,0.17434,3.87254
6.28520,0.17750,3.88266
6.38520,0.18069,3.89819
6.48520,0.18428,3.91198
6.58520,0.18761,3.91200
6.68520,0.19076,3.92567
6.78520,0.19430,3.91802
6.88520,0.19761,3.88253
6.98520,0.20065,3.86743
7.08520,0.20420,3.82253
7.18520,0.20765,3.82013
7.28520,0.21072,3.81618
7.38520,0.21424,3.86779
7.48520,0.21774,3.90578
7.58520,0.22072,3.93297
7.68520,0.22414,3.96352
7.78520,0.22771,3.98408
7.88520,0.23070,3.99678
7.98520,0.23413,4.02140
8.08520,0.23780,4.04871
8.18520,0.24084,4.06870
8.28520,0.24413,4.09483
8.38520,0.24771,4.12517
8.48520,0.25078,4.14140
8.58520,0.25403,4.17021
8.68520,0.25768,4.20039
8.78520,0.26094,4.21773
8.88520,0.26409,4.23934
8.98520,0.26768,4.26782
9.08520,0.27098,4.28105
9.18520,0.27401,4.30749
9.28520,0.27757,4.33555
9.38520,0.28101,4.35434
9.48520,0.28406,4.39432
9.58520,0.28763,4.46974
9.68520,0.29110,4.56838
9.78520,0.29405,4.66255
9.88520,0.29749,4.78465
9.98520,0.30104,4.91630
10.08520,0.30401,5.02167
10.18520,0.30748,5.14476
10.28520,0.31115,5.27904
10.38520,0.31412,5.38975
10.48520,0.31742,5.51577
10.58520,0.32105,5.65866
10.68520,0.32410,5.77523
10.78520,0.32735,5.89520
10.88520,0.33106,6.03405
10.98520,0.33426,6.14359
11.08520,0.33742,6.24822
11.18520,0.34102,6.36720
11.28520,0.34424,6.45339
11.38520,0.34735,6.53314
11.48520,0.35093,6.61884
11.58520,0.35431,6.67372
11.68520,0.35741,6.71853
11.78520,0.36092,6.77925
11.88520,0.36434,6.84334
11.98520,0.36734,6.90636
12.08520,0.37080,6.98831
12.18520,0.37432,7.06018
12.28520,0.37737,7.12237
12.38520,0.38086,7.21383
12.48520,0.38443,7.30807
12.58520,0.38742,7.38937
12.68520,0.39077,7.48219
12.78520,0.39435,7.56663
12.88520,0.39741,7.63595
12.98520,0.40075,7.71390
13.08520,0.40440,7.79206
13.18520,0.40754,7.85416
13.28520,0.41076,7.91854
13.38520,0.41431,7.98581
13.48520,0.41750,8.04702
13.58520,0.42067,8.10206
13.68520,0.42429,8.17064
13.78520,0.42764,8.23297
13.88520,0.43076,8.29076
13.98520,0.43432,8.35421
14.08520,0.43764,8.41308
14.18520,0.44067,8.46139
14.28520,0.44422,8.52206
14.38520,0.44768,8.57373
14.48520,0.45070,8.61665
14.58520,0.45424,8.67221
14.68520,0.45779,8.71958
14.78520,0.46073,8.75569
14.88520,0.46414,8.80110
14.98520,0.46774,8.84484
15.08520,0.47071,8.87301
15.18520,0.47410,8.91211
15.28520,0.47774,8.95848
15.38520,0.48079,8.98797
15.48520,0.48407,9.02359
15.58520,0.48769,9.06602
15.68520,0.49084,9.09427
15.78520,0.49406,9.12844
15.88520,0.49764,9.17120
15.98520,0.50087,9.20412
16.08520,0.50404,9.24206
16.18520,0.50763,9.28305
16.28520,0.51096,9.31714
16.38520,0.51406,9.34885
16.48520,0.51762,9.39108
16.58520,0.52103,9.43160
16.68520,0.52402,9.46831
16.78520,0.52756,9.51909
16.88520,0.53109,9.56516
16.98520,0.53406,9.59906
17.08520,0.53754,9.64892
17.18520,0.54113,9.69706
17.28520,0.54409,9.73122
17.38520,0.54740,9.77993
17.48520,0.55105,9.82602
17.58520,0.55409,9.86565
17.68520,0.55742,9.90512
17.78520,0.56107,9.95092
17.88520,0.56421,9.98538
17.98520,0.56742,10.02401
18.08520,0.57095,10.06658
18.18520,0.57412,10.09940
18.28520,0.57731,10.13353
18.38520,0.58093,10.17392
18.48520,0.58427,10.20619
18.58520,0.58745,10.23504
18.68520,0.59096,10.26668
18.78520,0.59425,10.29261
18.88520,0.59732,10.31692
18.98520,0.60089,10.35078
19.08520,0.60437,10.37832
19.18520,0.60741,10.40293
19.28520,0.61092,10.44258
19.38520,0.61441,10.47628
19.48520,0.61735,10.50557
19.58520,0.62078,10.54969
19.68520,0.62439,10.59095
19.78520,0.62743,10.62195
19.88520,0.63085,10.66680
19.98520,0.63445,10.71121
20.08520,0.63744,10.74266
20.18520,0.64069,10.78072
20.28520,0.64427,10.82411
20.38520,0.64744,10.86314
20.48520,0.65070,10.89607
20.58520,0.65436,10.93402
20.68520,0.65758,10.95995
20.78520,0.66077,10.97652
20.88520,0.66429,10.99977
20.98520,0.66755,11.00983
21.08520,0.67069,11.01574
21.18520,0.67431,11.02423
21.28520,0.67772,11.02299
21.38520,0.68077,11.02780
21.48520,0.68431,11.04526
21.58520,0.68771,11.05671
21.68520,0.69060,11.06652
21.78520,0.69412,11.09839
21.88520,0.69773,11.12766
21.98520,0.70071,11.14760
22.08520,0.70420,11.17702
22.18520,0.70784,11.21296
22.28520,0.71080,11.23605
22.38520,0.71409,11.26563
22.48520,0.71769,11.30317
22.58520,0.72078,11.33279
22.68520,0.72408,11.36828
22.78520,0.72775,11.40586
22.88520,0.73094,11.43631
22.98520,0.73411,11.47302
23.08520,0.73763,11.51142
23.18520,0.74088,11.54154
23.28520,0.74399,11.57552
23.38520,0.74759,11.61651
23.48520,0.75099,11.65905
23.58520,0.75403,11.69320
23.68520,0.75758,11.73116
23.78520,0.76099,11.76853
23.88520,0.76402,11.79939
23.98520,0.76753,11.83688
24.08520,0.77108,11.87850
24.18520,0.77409,11.90647
24.28520,0.77752,11.94137
24.38520,0.78110,11.98165
24.48520,0.78411,12.00873
24.58520,0.78743,12.04411
24.68520,0.79105,12.08208
24.78520,0.79412,12.10750
24.88520,0.79741,12.14465
24.98520,0.80102,12.18164
25.08520,0.80420,12.21591
25.18520,0.80741,12.24749
25.28520,0.81096,12.29215
25.38520,0.81425,12.33002
25.48520,0.81739,12.37473
25.58520,0.82094,12.42523
25.68520,0.82430,12.47505
25.78520,0.82738,12.51790
25.88520,0.83091,12.56874
25.98520,0.83433,12.62413
26.08520,0.83738,12.67323
26.18520,0.84092,12.73299
26.28520,0.84443,12.79084
26.38520,0.84740,12.83927
26.48520,0.85086,12.89770
26.58520,0.85438,12.96282
26.68520,0.85738,13.01652
26.78520,0.86080,13.08112
26.88520,0.86444,13.14883
26.98520,0.86748,13.20204
27.08520,0.87078,13.26721
27.18520,0.87439,13.32782
27.28520,0.87748,13.37458
27.38520,0.88072,13.42812
27.48520,0.88438,13.49043
27.58520,0.88758,13.54149
27.68520,0.89076,13.59044
