General : Start Date,3/28/2019 12:57 PM,
Custom choice input : Operator,Ping,
Text Inputs : Specimen label,w20s1.2n1,
Custom choice input : Material,Polypropylene,
Dimension : Length,200,mm
Dimension : Thickness,5.3,mm
Dimension : Width,20.3,mm
Dimension : Area,1.0759,cm^2
,,
Time,Extension,Load
(sec),(mm),(N)
0,0,0.00486
0.0018,0,0.0047
0.1,0,0.00863
0.2,0,0.0088
0.3,0,0.01049
0.4852,0,0.00885
0.5852,0,0.0106
0.6852,0,0.00992
0.7852,0,0.01143
0.8852,0,0.00869
0.9378,0,0.01273
0.9852,0.00002,0.01012
1.0852,0.00093,0.03449
1.1852,0.00451,0.20096
1.2852,0.00923,0.40665
1.3852,0.01318,0.57048
1.4852,0.01721,0.73333
1.5852,0.02056,0.86727
1.6852,0.02384,0.9986
1.7852,0.02754,1.13294
1.8852,0.03083,1.25123
1.9852,0.03397,1.3659
2.0852,0.03758,1.49212
2.1852,0.04091,1.60476
2.2852,0.04395,1.70123
2.3852,0.04755,1.81095
2.4852,0.05106,1.91256
2.5852,0.05406,1.98666
2.6852,0.05758,2.0787
2.7852,0.06111,2.15734
2.8852,0.06406,2.21916
2.9852,0.06747,2.29265
3.0852,0.07109,2.36463
3.1852,0.0741,2.41826
3.2852,0.07751,2.47723
3.3852,0.08114,2.53849
3.4852,0.08418,2.58129
3.5852,0.08744,2.63136
3.6852,0.09108,2.682
3.7852,0.09416,2.72065
3.8852,0.09738,2.76498
3.9852,0.10104,2.81413
4.0852,0.10424,2.84815
4.1852,0.10738,2.892
4.2852,0.11099,2.95463
4.3852,0.1143,3.01088
4.4852,0.11735,3.06734
4.5852,0.12095,3.13882
4.6852,0.12439,3.21054
4.7852,0.12743,3.26636
4.8852,0.13092,3.3327
4.9852,0.13437,3.39354
5.0852,0.13738,3.44246
5.1852,0.14085,3.50344
5.2852,0.14442,3.55744
5.3852,0.14744,3.6014
5.4852,0.15082,3.65451
5.5852,0.15437,3.70056
5.6852,0.15741,3.73358
5.7852,0.16075,3.77095
5.8852,0.16438,3.8066
5.9852,0.16754,3.82836
6.0852,0.17081,3.85115
6.1852,0.17434,3.87254
6.2852,0.1775,3.88266
6.3852,0.18069,3.89819
6.4852,0.18428,3.91198
6.5852,0.18761,3.912
6.6852,0.19076,3.92567
6.7852,0.1943,3.91802
6.8852,0.19761,3.88253
6.9852,0.20065,3.86743
7.0852,0.2042,3.82253
7.1852,0.20765,3.82013
7.2852,0.21072,3.81618
7.3852,0.21424,3.86779
7.4852,0.21774,3.90578
7.5852,0.22072,3.93297
7.6852,0.22414,3.96352
7.7852,0.22771,3.98408
7.8852,0.2307,3.99678
7.9852,0.23413,4.0214
8.0852,0.2378,4.04871
8.1852,0.24084,4.0687
8.2852,0.24413,4.09483
8.3852,0.24771,4.12517
8.4852,0.25078,4.1414
8.5852,0.25403,4.17021
8.6852,0.25768,4.20039
8.7852,0.26094,4.21773
8.8852,0.26409,4.23934
8.9852,0.26768,4.26782
9.0852,0.27098,4.28105
9.1852,0.27401,4.30749
9.2852,0.27757,4.33555
9.3852,0.28101,4.35434
9.4852,0.28406,4.39432
9.5852,0.28763,4.46974
9.6852,0.2911,4.56838
9.7852,0.29405,4.66255
9.8852,0.29749,4.78465
9.9852,0.30104,4.9163
10.0852,0.30401,5.02167
10.1852,0.30748,5.14476
10.2852,0.31115,5.27904
10.3852,0.31412,5.38975
10.4852,0.31742,5.51577
10.5852,0.32105,5.65866
10.6852,0.3241,5.77523
10.7852,0.32735,5.8952
10.8852,0.33106,6.03405
10.9852,0.33426,6.14359
11.0852,0.33742,6.24822
11.1852,0.34102,6.3672
11.2852,0.34424,6.45339
11.3852,0.34735,6.53314
11.4852,0.35093,6.61884
11.5852,0.35431,6.67372
11.6852,0.35741,6.71853
11.7852,0.36092,6.77925
11.8852,0.36434,6.84334
11.9852,0.36734,6.90636
12.0852,0.3708,6.98831
12.1852,0.37432,7.06018
12.2852,0.37737,7.12237
12.3852,0.38086,7.21383
12.4852,0.38443,7.30807
12.5852,0.38742,7.38937
12.6852,0.39077,7.48219
12.7852,0.39435,7.56663
12.8852,0.39741,7.63595
12.9852,0.40075,7.7139
13.0852,0.4044,7.79206
13.1852,0.40754,7.85416
13.2852,0.41076,7.91854
13.3852,0.41431,7.98581
13.4852,0.4175,8.04702
13.5852,0.42067,8.10206
13.6852,0.42429,8.17064
13.7852,0.42764,8.23297
13.8852,0.43076,8.29076
13.9852,0.43432,8.35421
14.0852,0.43764,8.41308
14.1852,0.44067,8.46139
14.2852,0.44422,8.52206
14.3852,0.44768,8.57373
14.4852,0.4507,8.61665
14.5852,0.45424,8.67221
14.6852,0.45779,8.71958
14.7852,0.46073,8.75569
14.8852,0.46414,8.8011
14.9852,0.46774,8.84484
15.0852,0.47071,8.87301
15.1852,0.4741,8.91211
15.2852,0.47774,8.95848
15.3852,0.48079,8.98797
15.4852,0.48407,9.02359
15.5852,0.48769,9.06602
15.6852,0.49084,9.09427
15.7852,0.49406,9.12844
15.8852,0.49764,9.1712
15.9852,0.50087,9.20412
16.0852,0.50404,9.24206
16.1852,0.50763,9.28305
16.2852,0.51096,9.31714
16.3852,0.51406,9.34885
16.4852,0.51762,9.39108
16.5852,0.52103,9.4316
16.6852,0.52402,9.46831
16.7852,0.52756,9.51909
16.8852,0.53109,9.56516
16.9852,0.53406,9.59906
17.0852,0.53754,9.64892
17.1852,0.54113,9.69706
17.2852,0.54409,9.73122
17.3852,0.5474,9.77993
17.4852,0.55105,9.82602
17.5852,0.55409,9.86565
17.6852,0.55742,9.90512
17.7852,0.56107,9.95092
17.8852,0.56421,9.98538
17.9852,0.56742,10.02401
18.0852,0.57095,10.06658
18.1852,0.57412,10.0994
18.2852,0.57731,10.13353
18.3852,0.58093,10.17392
18.4852,0.58427,10.20619
18.5852,0.58745,10.23504
18.6852,0.59096,10.26668
18.7852,0.59425,10.29261
18.8852,0.59732,10.31692
18.9852,0.60089,10.35078
19.0852,0.60437,10.37832
19.1852,0.60741,10.40293
19.2852,0.61092,10.44258
19.3852,0.61441,10.47628
19.4852,0.61735,10.50557
19.5852,0.62078,10.54969
19.6852,0.62439,10.59095
19.7852,0.62743,10.62195
19.8852,0.63085,10.6668
19.9852,0.63445,10.71121
20.0852,0.63744,10.74266
20.1852,0.64069,10.78072
20.2852,0.64427,10.82411
20.3852,0.64744,10.86314
20.4852,0.6507,10.89607
20.5852,0.65436,10.93402
20.6852,0.65758,10.95995
20.7852,0.66077,10.97652
20.8852,0.66429,10.99977
20.9852,0.66755,11.00983
21.0852,0.67069,11.01574
21.1852,0.67431,11.02423
21.2852,0.67772,11.02299
21.3852,0.68077,11.0278
21.4852,0.68431,11.04526
21.5852,0.68771,11.05671
21.6852,0.6906,11.06652
21.7852,0.69412,11.09839
21.8852,0.69773,11.12766
21.9852,0.70071,11.1476
22.0852,0.7042,11.17702
22.1852,0.70784,11.21296
22.2852,0.7108,11.23605
22.3852,0.71409,11.26563
22.4852,0.71769,11.30317
22.5852,0.72078,11.33279
22.6852,0.72408,11.36828
22.7852,0.72775,11.40586
22.8852,0.73094,11.43631
22.9852,0.73411,11.47302
23.0852,0.73763,11.51142
23.1852,0.74088,11.54154
23.2852,0.74399,11.57552
23.3852,0.74759,11.61651
23.4852,0.75099,11.65905
23.5852,0.75403,11.6932
23.6852,0.75758,11.73116
23.7852,0.76099,11.76853
23.8852,0.76402,11.79939
23.9852,0.76753,11.83688
24.0852,0.77108,11.8785
24.1852,0.77409,11.90647
24.2852,0.77752,11.94137
24.3852,0.7811,11.98165
24.4852,0.78411,12.00873
24.5852,0.78743,12.04411
24.6852,0.79105,12.08208
24.7852,0.79412,12.1075
24.8852,0.79741,12.14465
24.9852,0.80102,12.18164
25.0852,0.8042,12.21591
25.1852,0.80741,12.24749
25.2852,0.81096,12.29215
25.3852,0.81425,12.33002
25.4852,0.81739,12.37473
25.5852,0.82094,12.42523
25.6852,0.8243,12.47505
25.7852,0.82738,12.5179
25.8852,0.83091,12.56874
25.9852,0.83433,12.62413
26.0852,0.83738,12.67323
26.1852,0.84092,12.73299
26.2852,0.84443,12.79084
26.3852,0.8474,12.83927
26.4852,0.85086,12.8977
26.5852,0.85438,12.96282
26.6852,0.85738,13.01652
26.7852,0.8608,13.08112
26.8852,0.86444,13.14883
26.9852,0.86748,13.20204
27.0852,0.87078,13.26721
27.1852,0.87439,13.32782
27.2852,0.87748,13.37458
27.3852,0.88072,13.42812
27.4852,0.88438,13.49043
27.5852,0.88758,13.54149
27.6852,0.89076,13.59044
27.7852,0.89434,13.64872
27.8852,0.8976,13.70476
27.9852,0.90069,13.75319
28.0852,0.90426,13.81064
28.1852,0.90766,13.86256
28.2852,0.91072,13.91169
28.3852,0.91426,13.96995
28.4852,0.9177,14.02388
28.5852,0.92067,14.0665
28.6852,0.92419,14.12412
28.7852,0.92773,14.18119
28.8852,0.93068,14.22375
28.9852,0.93416,14.27993
29.0852,0.93777,14.33682
29.1852,0.94073,14.37804
29.2852,0.94412,14.42958
29.3852,0.94776,14.48362
29.4852,0.95077,14.52799
29.5852,0.95409,14.57783
29.6852,0.95773,14.63064
29.7852,0.96082,14.67479
29.8852,0.96401,14.72434
29.9852,0.96764,14.78479
30.0852,0.97085,14.82748
30.1852,0.97398,14.876
30.2852,0.97757,14.93348
30.3852,0.98091,14.98196
30.4852,0.98402,15.0242
30.5852,0.9876,15.08061
30.6852,0.99101,15.12874
30.7852,0.99404,15.17413
30.8852,0.99754,15.22265
30.9852,1.001,15.281
31.0852,1.00402,15.33127
31.1852,1.00755,15.39526
31.2852,1.01108,15.45635
31.3852,1.01409,15.50834
31.4852,1.01751,15.56466
